caption,altcaption,label,filename,loc
"Discard rates by area, year, and source used in the base model.",NA,disc-rates,discard_table.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/Dover_sole_2021/data/discard_data
"Summary of the number of tows, fish sampled, and the calculated input sample size for the NWFSC WCGBT survey length data used in the assessment.",NA,wcgbt-len-samps,nwfsc_wcgbts_length_samps.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/Dover_sole_2021/data/survey/wcgbts/forSS/2011_strata
"Summary of the number of tows, fish sampled, and the calculated input sample size for the NWFSC WCGBT survey age data used in the assessment.",NA,wcgbt-age-samps,nwfsc_wcgbts_age_samps.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/Dover_sole_2021/data/survey/wcgbts/forSS/2011_strata
"Summary of the number of tows, fish sampled, and the calculated input sample size for the AFSC Slope survey length data used in the assessment.",NA,afsc-len-samps,afsc_slope_length_samps.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/Dover_sole_2021/data/survey/afsc_slope/forSS/2011_strata
"Summary of the number of tows, fish sampled, and the calculated input sample size for the NWFSC Slope survey length data used in the assessment.",NA,nwfsc-len-samps,nwfsc_slope_length_samps.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/Dover_sole_2021/data/survey/nwfsc_slope/forSS/2011_strata
"Summary of the number of tows, fish sampled, and the calculated input sample size for the NWFSC Slope survey age data used in the assessment.",NA,nwfsc-age-samps,nwfsc_slope_age_samps.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/Dover_sole_2021/data/survey/nwfsc_slope/forSS/2011_strata
"Summary of the number of tows, fish sampled, and the calculated input sample size for the early Triennial survey length data used in the assessment.",NA,tri-early-len-samps,triennial_early_length_samps.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/Dover_sole_2021/data/survey/triennial/forSS/2011_strata
"Summary of the number of tows, fish sampled, and the calculated input sample size for the late Triennial survey length data used in the assessment.",NA,tri-late-len-samps,triennial_late_length_samps.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/Dover_sole_2021/data/survey/triennial/forSS/2011_strata
Summary of the number of trips and fish sampled per year for the commercial length data used in the assessment.,NA,com-len-samps,Com_Length_Samples.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/Dover_sole_2021/data/commercial_comps/forSS
Summary of the number of trips and fish sampled per year for the commercial age length data used in the assessment.,NA,com-age-samps,Com_Age_Samples.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/Dover_sole_2021/data/commercial_comps/forSS
